 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
33.49479,11.3400,11.3322,11.3380,11.3363,11.3344,11.3314,11.3201,11.3345,11.3440,11.3319
33.50520,11.3812,11.3734,11.3793,11.3775,11.3756,11.3726,11.3612,11.3757,11.3853,11.3731
33.51562,11.4256,11.4177,11.4236,11.4219,11.4199,11.4169,11.4055,11.4200,11.4298,11.4174
33.52604,11.4706,11.4626,11.4685,11.4668,11.4648,11.4617,11.4502,11.4649,11.4748,11.4622
33.53645,11.5147,11.5065,11.5126,11.5108,11.5088,11.5057,11.4939,11.5089,11.5190,11.5062
33.54687,11.5557,11.5473,11.5536,11.5517,11.5496,11.5465,11.5345,11.5497,11.5602,11.5470
33.55729,11.5895,11.5808,11.5872,11.5853,11.5832,11.5799,11.5676,11.5832,11.5940,11.5804
33.56770,11.6175,11.6085,11.6152,11.6132,11.6110,11.6076,11.5950,11.6111,11.6223,11.6081
33.57812,11.6433,11.6340,11.6409,11.6388,11.6365,11.6330,11.6200,11.6366,11.6483,11.6336
33.58854,11.6669,11.6572,11.6644,11.6622,11.6598,11.6562,11.6427,11.6599,11.6722,11.6568
33.59895,11.6875,11.6773,11.6848,11.6825,11.6800,11.6762,11.6623,11.6801,11.6930,11.6768
33.60937,11.7049,11.6942,11.7021,11.6997,11.6971,11.6931,11.6786,11.6972,11.7107,11.6937
33.61979,11.7200,11.7088,11.7171,11.7146,11.7118,11.7077,11.6926,11.7119,11.7261,11.7083
33.63020,11.7305,11.7187,11.7274,11.7248,11.7219,11.7175,11.7017,11.7220,11.7369,11.7182
33.64062,11.7331,11.7206,11.7297,11.7270,11.7239,11.7193,11.7029,11.7241,11.7398,11.7201
33.65104,11.7303,11.7173,11.7268,11.7239,11.7207,11.7159,11.6987,11.7209,11.7374,11.7167
33.66145,11.7250,11.7114,11.7213,11.7183,11.7150,11.7100,11.6921,11.7151,11.7324,11.7108
33.67187,11.7198,11.7056,11.7160,11.7129,11.7094,11.7042,11.6856,11.7096,11.7276,11.7050
33.68229,11.7194,11.7045,11.7154,11.7121,11.7085,11.7030,11.6836,11.7086,11.7275,11.7039
33.69270,11.7222,11.7067,11.7180,11.7146,11.7108,11.7051,11.6849,11.7110,11.7307,11.7060
33.70312,11.7252,11.7090,11.7208,11.7172,11.7133,11.7073,11.6863,11.7134,11.7341,11.7083
33.71354,11.7271,11.7102,11.7225,11.7188,11.7146,11.7084,11.6865,11.7148,11.7363,11.7094
33.72395,11.7264,11.7088,11.7216,11.7177,11.7134,11.7070,11.6842,11.7136,11.7360,11.7080
33.73437,11.7243,11.7061,11.7193,11.7153,11.7109,11.7041,11.6805,11.7111,11.7343,11.7052
33.74479,11.7221,11.7032,11.7169,11.7128,11.7082,11.7012,11.6767,11.7084,11.7324,11.7023
33.75520,11.6463,11.6268,11.6410,11.6367,11.6320,11.6248,11.5994,11.6322,11.6570,11.6259
33.76562,11.4895,11.4694,11.4840,11.4796,11.4747,11.4673,11.4412,11.4749,11.5004,11.4684
33.77604,11.4003,11.3798,11.3947,11.3902,11.3852,11.3776,11.3509,11.3854,11.4115,11.3788
33.78645,11.3914,11.3705,11.3857,11.3811,11.3760,11.3682,11.3410,11.3762,11.4028,11.3695
33.79687,11.3793,11.3580,11.3734,11.3688,11.3636,11.3557,11.3280,11.3638,11.3908,11.3570
33.80729,11.3569,11.3353,11.3510,11.3463,11.3410,11.3330,11.3048,11.3413,11.3687,11.3343
33.81770,11.3335,11.3116,11.3275,11.3227,11.3174,11.3092,11.2805,11.3176,11.3454,11.3105
33.82812,11.3115,11.2892,11.3054,11.3006,11.2951,11.2869,11.2577,11.2954,11.3235,11.2882
33.83854,11.2924,11.2700,11.2863,11.2814,11.2759,11.2675,11.2380,11.2761,11.3046,11.2689
33.84895,11.2793,11.2566,11.2731,11.2682,11.2626,11.2542,11.2242,11.2628,11.2915,11.2555
33.85937,11.2699,11.2470,11.2637,11.2587,11.2531,11.2446,11.2143,11.2533,11.2822,11.2459
33.86979,11.2615,11.2384,11.2552,11.2502,11.2445,11.2359,11.2054,11.2448,11.2739,11.2373
33.88020,11.2538,11.2306,11.2475,11.2425,11.2368,11.2281,11.1973,11.2370,11.2662,11.2295
33.89062,11.2469,11.2236,11.2406,11.2355,11.2298,11.2211,11.1901,11.2300,11.2593,11.2225
33.90104,11.2405,11.2171,11.2341,11.2291,11.2233,11.2146,11.1834,11.2236,11.2529,11.2160
33.91145,11.2343,11.2110,11.2280,11.2229,11.2172,11.2085,11.1772,11.2175,11.2468,11.2099
33.92187,11.2262,11.2029,11.2199,11.2148,11.2091,11.2004,11.1690,11.2093,11.2385,11.2018
33.93229,11.2133,11.1901,11.2070,11.2020,11.1963,11.1876,11.1562,11.1965,11.2256,11.1890
33.94270,11.1975,11.1745,11.1913,11.1863,11.1806,11.1720,11.1407,11.1809,11.2097,11.1734
33.95312,11.1812,11.1583,11.1750,11.1700,11.1644,11.1558,11.1246,11.1646,11.1933,11.1572
33.96354,11.1665,11.1438,11.1603,11.1554,11.1498,11.1413,11.1103,11.1501,11.1784,11.1427
33.97395,11.1560,11.1336,11.1500,11.1451,11.1396,11.1311,11.1003,11.1398,11.1679,11.1325
33.98437,11.1482,11.1260,11.1423,11.1374,11.1320,11.1236,11.0931,11.1322,11.1599,11.1250
33.99479,11.1408,11.1189,11.1349,11.1301,11.1247,11.1165,11.0862,11.1250,11.1523,11.1178
 
34.00520,11.0656,11.0440,11.0598,11.0551,11.0498,11.0416,11.0117,11.0500,11.0768,11.0430
34.01562,10.9110,10.8899,10.9054,10.9008,10.8956,10.8876,10.8583,10.8958,10.9220,10.8889
34.02604,10.8119,10.7914,10.8064,10.8020,10.7969,10.7892,10.7606,10.7971,10.8225,10.7904
